,filename,filecategory,fileloc,ExpectedFaces,haarcascade-MS,haarcascade-FindingFace,dnn-MS,dnn-FindingFace,hogdlib-MS,hogdlib-FindingFace,cnndlib-MS,cnndlib-FindingFace
0,00_01.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_01.jpg,187,71.72341346740723,0,21.323776245117188,0,8.70044231414795,0,437.0486259460449,0
1,00_02.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_02.jpg,4,68.26777458190918,2,16.491150856018066,0,13.553833961486816,0,632.9253673553467,0
2,00_03.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_03.jpg,18,113.32638263702393,14,16.41867160797119,0,12.865066528320312,0,625.0399589538574,0
3,00_04.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_04.jpg,104,125.6706714630127,21,16.39113426208496,0,11.965274810791016,0,596.2156295776367,0
4,00_05.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_05.jpg,6,79.65497970581055,3,16.930389404296875,0,16.077327728271484,0,701.5911340713501,0
5,00_06.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_06.jpg,120,79.9124002456665,11,19.408106803894043,0,10.548901557922363,0,542.3594951629639,0
6,00_07.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_07.jpg,12,90.90352058410645,4,16.622424125671387,0,13.762378692626953,0,701.5360832214355,0
7,00_08.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_08.jpg,26,97.0684289932251,16,16.39876365661621,0,12.330222129821777,0,629.4906377792358,0
8,00_09.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_09.jpg,6,103.48207950592041,12,16.38462543487549,5,13.741707801818848,5,694.9556589126587,6
9,00_10.jpg,00,/home/pi/LAP/ImgsPart/for_face_detection/00/00_10.jpg,24,99.79128837585449,15,17.136502265930176,15,11.686348915100098,2,585.9059810638428,11
10,01_01.jpg,01,/home/pi/LAP/ImgsPart/for_face_detection/01/01_01.jpg,4,93.5072660446167,1,19.03359889984131,2,14.028358459472656,1,718.4304475784302,2
11,01_02.jpg,01,/home/pi/LAP/ImgsPart/for_face_detection/01/01_02.jpg,5,63.29076290130615,2,16.46139621734619,1,10.7896089553833,1,482.5653076171875,1
12,01_03.jpg,01,/home/pi/LAP/ImgsPart/for_face_detection/01/01_03.jpg,10,70.279860496521,3,16.344237327575684,0,10.743546485900879,0,521.3308334350586,0
13,02_01.jpg,02,/home/pi/LAP/ImgsPart/for_face_detection/02/02_01.jpg,10,73.38237762451172,9,16.39418601989746,7,12.564754486083984,5,621.0748195648193,7
14,02_02.jpg,02,/home/pi/LAP/ImgsPart/for_face_detection/02/02_02.jpg,13,80.93461990356445,14,18.92845630645752,0,11.178970336914062,0,570.1763153076172,0
15,02_03.jpg,02,/home/pi/LAP/ImgsPart/for_face_detection/02/02_03.jpg,9,90.07024765014648,7,18.007659912109375,3,13.730478286743164,2,698.8116502761841,0
16,02_04.jpg,02,/home/pi/LAP/ImgsPart/for_face_detection/02/02_04.jpg,9,73.60179424285889,7,17.00723171234131,5,12.669825553894043,6,622.0139026641846,4
17,02_05.jpg,02,/home/pi/LAP/ImgsPart/for_face_detection/02/02_05.jpg,1,56.54950141906738,1,16.434049606323242,1,12.570977210998535,0,622.8982210159302,1
18,02_06.jpg,02,/home/pi/LAP/ImgsPart/for_face_detection/02/02_06.jpg,6,100.00653266906738,5,16.84730052947998,4,10.446643829345703,3,520.6565141677856,2
19,02_07.jpg,02,/home/pi/LAP/ImgsPart/for_face_detection/02/02_07.jpg,8,113.88046741485596,8,16.6154146194458,7,17.394399642944336,7,760.1637125015259,5
20,03_01.jpg,03,/home/pi/LAP/ImgsPart/for_face_detection/03/03_01.jpg,4,55.495405197143555,3,16.864824295043945,4,12.569403648376465,4,635.6142044067383,4
21,03_02.jpg,03,/home/pi/LAP/ImgsPart/for_face_detection/03/03_02.jpg,4,64.31729793548584,4,17.4238920211792,0,12.546467781066895,0,624.8324394226074,0
22,03_03.jpg,03,/home/pi/LAP/ImgsPart/for_face_detection/03/03_03.jpg,4,67.2642707824707,5,16.627812385559082,4,12.581777572631836,4,622.0189571380615,4
23,03_04.jpg,03,/home/pi/LAP/ImgsPart/for_face_detection/03/03_04.jpg,2,72.27983474731445,2,16.840457916259766,2,12.53514289855957,1,620.5320596694946,2
24,03_05.jpg,03,/home/pi/LAP/ImgsPart/for_face_detection/03/03_05.jpg,5,96.40071392059326,8,16.742658615112305,5,13.093209266662598,1,642.8039789199829,5
25,03_06.jpg,03,/home/pi/LAP/ImgsPart/for_face_detection/03/03_06.jpg,5,197.4198579788208,7,17.086029052734375,3,28.888845443725586,5,1504.0702819824219,5
26,03_07.jpg,03,/home/pi/LAP/ImgsPart/for_face_detection/03/03_07.jpg,6,57.35516548156738,6,16.83790683746338,0,12.291789054870605,0,921.9642400741577,0
27,04_01.jpg,04,/home/pi/LAP/ImgsPart/for_face_detection/04/04_01.jpg,7,86.27908229827881,13,16.73581600189209,3,13.604736328125,2,692.0640468597412,0
28,04_02.jpg,04,/home/pi/LAP/ImgsPart/for_face_detection/04/04_02.jpg,13,87.24989891052246,10,16.89937114715576,0,11.883997917175293,0,588.583517074585,0
29,04_03.jpg,04,/home/pi/LAP/ImgsPart/for_face_detection/04/04_03.jpg,35,97.53930568695068,27,16.771960258483887,0,12.759256362915039,0,618.6023235321045,0
